VideoID,Title,Label,Brief,Duration,Editor,Date
10000,Bobby squats,Yoga,Bobby squats,0,1,2021-05-31 23:10:23
10001,Russian turn,Yoga,Russian turn,0,1,2021-05-31 23:10:53
10002,push-ups,Yoga,push-ups,0,1,2021-05-31 23:11:23
10003,Roll of Abdominal,Yoga,Roll of Abdominal,0,1,2021-05-31 23:11:54
10004,Jumping jacks,Yoga,Jumping jacks,0,1,2021-05-31 23:12:23
10005,jogging,HIIT,jogging,0,1,2021-05-31 23:12:51
10006,Cat Stretching,HIIT,Cat Stretching,0,1,2021-05-31 23:13:27
10007,Tablet support,HIIT,Tablet support,0,1,2021-05-31 23:13:57
10008,Cross Bracing,Strength,Cross Bracing,0,1,2021-05-31 23:14:37
10009,Yoga - Twist,Yoga,Yoga - Twist,0,1,2021-05-31 23:15:14
10010,Yoga - Happy Babies,Yoga,Yoga - Happy Babies,0,1,2021-05-31 23:15:37
10011,Yoga -  Lie on your back,Yoga,Yoga -  Lie on your back,0,1,2021-05-31 23:15:58
